platform_asset_id,country,type,class,tier,verified_propulsor_id,verified_kind,verification_status,confidence,game_plan_propulsor_id,verification_rationale
US_SSN_Skipjack,USA,SSN,Skipjack,2,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T02_IMPROVED,尚无公开资料研究结论，保持 UNKNOWN。
US_SSN_Sturgeon,USA,SSN,Sturgeon,4,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T04_SKEWED,尚无公开资料研究结论，保持 UNKNOWN。
US_SSN_LosAngeles,USA,SSN,Los Angeles,6,US_PROP_LosAngeles,PROPELLER,CONFIRMED,CONFIRMED,US_PROP_LosAngeles,公开条目明确为减速齿轮驱动的螺旋桨。
US_SSN_Seawolf,USA,SSN,Seawolf,8,US_PJ_Seawolf,PUMPJET,CONFIRMED,CONFIRMED,US_PJ_Seawolf,公开条目明确为低噪声泵喷推进器。
US_SSN_Virginia,USA,SSN,Virginia,9,US_PJ_Virginia,PUMPJET,CONFIRMED,CONFIRMED,US_PJ_Virginia,公开条目明确为单轴泵喷推进器。
US_SSBN_GeorgeWashington,USA,SSBN,George Washington,2,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T02_IMPROVED,尚无公开资料研究结论，保持 UNKNOWN。
US_SSBN_EthanAllen,USA,SSBN,Ethan Allen,3,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T03_MULTIBLADE,尚无公开资料研究结论，保持 UNKNOWN。
US_SSBN_Lafayette,USA,SSBN,Lafayette,4,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T04_SKEWED,尚无公开资料研究结论，保持 UNKNOWN。
US_SSBN_JamesMadison,USA,SSBN,James Madison,4,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T04_SKEWED,尚无公开资料研究结论，保持 UNKNOWN。
US_SSBN_BenjaminFranklin,USA,SSBN,Benjamin Franklin,5,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T05_QUIET,尚无公开资料研究结论，保持 UNKNOWN。
US_SSBN_Ohio,USA,SSBN,Ohio,8,,UNKNOWN,UNKNOWN,UNKNOWN,US_PJ_Seawolf,尚无公开资料研究结论，保持 UNKNOWN。
US_SSBN_Columbia,USA,SSBN,Columbia,10,,UNKNOWN,UNKNOWN,UNKNOWN,PJ_T10_NEXTGEN,尚无公开资料研究结论，保持 UNKNOWN。
RU_SSN_November,Russia,SSN,November,2,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T02_IMPROVED,尚无公开资料研究结论，保持 UNKNOWN。
RU_SSN_Victor,Russia,SSN,Victor,4,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T04_SKEWED,尚无公开资料研究结论，保持 UNKNOWN。
RU_SSN_Sierra,Russia,SSN,Sierra,6,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T05_QUIET,尚无公开资料研究结论，保持 UNKNOWN。
RU_SSN_Akula,Russia,SSN,Akula,7,RU_PROP_Akula,PROPELLER,CONFIRMED,CONFIRMED,RU_PROP_Akula,公开条目明确单具七叶螺旋桨。
RU_SSN_Yasen,Russia,SSN,Yasen,9,RU_PJ_Yasen,PUMPJET,REPORTED,REPORTED,RU_PJ_Yasen,公开分析普遍描述为泵喷，但无官方确认。
RU_SSN_YasenM,Russia,SSN,Yasen-M,10,RU_PJ_Yasen,PUMPJET,REPORTED,REPORTED,PJ_T10_NEXTGEN,Yasen-M 沿用同级推进器，公开分析描述为泵喷。
RU_SSBN_Hotel,Russia,SSBN,Hotel,2,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T02_IMPROVED,尚无公开资料研究结论，保持 UNKNOWN。
RU_SSBN_Yankee,Russia,SSBN,Yankee,4,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T04_SKEWED,尚无公开资料研究结论，保持 UNKNOWN。
RU_SSBN_DeltaI,Russia,SSBN,Delta I,5,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T05_QUIET,尚无公开资料研究结论，保持 UNKNOWN。
RU_SSBN_DeltaII,Russia,SSBN,Delta II,5,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T05_QUIET,尚无公开资料研究结论，保持 UNKNOWN。
RU_SSBN_DeltaIII,Russia,SSBN,Delta III,6,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T05_QUIET,尚无公开资料研究结论，保持 UNKNOWN。
RU_SSBN_DeltaIV,Russia,SSBN,Delta IV,7,,UNKNOWN,UNKNOWN,UNKNOWN,RU_PROP_Akula,尚无公开资料研究结论，保持 UNKNOWN。
RU_SSBN_Typhoon,Russia,SSBN,Typhoon,8,RU_PROP_Typhoon,PROPELLER,CONFIRMED,CONFIRMED,RU_PROP_Typhoon,公开资料一致描述双轴七叶带围罩螺旋桨。
RU_SSBN_Borei,Russia,SSBN,Borei,9,,UNKNOWN,UNKNOWN,UNKNOWN,RU_PJ_Yasen,尚无公开资料研究结论，保持 UNKNOWN。
RU_SSBN_BoreiA,Russia,SSBN,Borei-A,10,,UNKNOWN,UNKNOWN,UNKNOWN,PJ_T10_NEXTGEN,尚无公开资料研究结论，保持 UNKNOWN。
UK_SSN_Dreadnought,UK,SSN,Dreadnought,2,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T02_IMPROVED,尚无公开资料研究结论，保持 UNKNOWN。
UK_SSN_Valiant,UK,SSN,Valiant,3,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T03_MULTIBLADE,尚无公开资料研究结论，保持 UNKNOWN。
UK_SSN_Swiftsure,UK,SSN,Swiftsure,5,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T05_QUIET,尚无公开资料研究结论，保持 UNKNOWN。
UK_SSN_Trafalgar,UK,SSN,Trafalgar,6,,UNKNOWN,UNKNOWN,UNKNOWN,PROP_T05_QUIET,尚无公开资料研究结论，保持 UNKNOWN。
UK_SSN_Astute,UK,SSN,Astute,9,UK_PJ_Astute,PUMPJET,CONFIRMED,CONFIRMED,UK_PJ_Astute,公开条目明确装备泵喷推进器。
